"","year","month","day","date","Brazil","Canada","China","Germany","India","Iran","Italy","Japan","Russia","Saudi Arabia","USA","World"
"1","2015","01","01","20150101","29458814464162525184","23633800632917401600","56472292772898332672","6728462680222836736","17109955301770641408","7859438323306549248","1084792781318477056","3710159196576739840","90373577764700110848","9057301609325651968","5.076218857731e+19","3425052403291743"
"2","2015","01","02","20150102","29658436910283415552","31099343414825316352","1.06425765308246e+20","3993606592595330048","15624735679319257088","8422370057380174848","2229384212054654464","2858388130447670272","94872462009449086976","7663758280250976256","48128776055509450752","3475970175251191"
"3","2015","01","03","20150103","2.9174318661223e+19","26491758036548902912","75783746058324099072","1893474592547143680","12556472581730289664","8706804813061259264","4628486266347478016","3441605639222816256","74755692404978597888","7276458870397429760","36214495265522204672","3370543274829552"
"4","2015","01","04","20150104","29319820139163435008","28819031662536294400","1.00785198358517e+20","2600509306759544832","15531139908429273088","8286792992916335616","2675806857841883648","3345210910353238016","97947769252463067136","7941836703708450816","40934037943089750016","3414335555786840"
"5","2015","01","05","20150105","30359069646236733440","31195215911469154304","58555994970512285696","5691765955725515776","16615165956810061824","8862657677210156032","1987381051496572416","3959881482986780160","79445901151493799936","7533608437651465216","55836890966379102208","3395663561458462"
"6","2015","01","06","20150106","28357411203408486400","32479087973198397440","5.1463257325845e+19","5344340499959567360","16983102649431877632","9233515286886815744","2311558467242953728","5467201198183764992","85888381355011833856","8746023987869663232","54087065537855758336","3374874645847784"
"7","2015","01","07","20150107","29731725239230074880","54259233850830274560","1.18789959418503e+20","4049669633937809408","18964215118639210496","6948649177317882880","1774934785606760192","4496513628958951936","77603985559752884224","7516300198369124352","46348239359719505920","3437948754650280"
"8","2015","01","08","20150108","29162733798496628736","39844488953238593536","71254077934969856000","NaN","18225788982887831552","8013905431882567680","1544267162266184960","4406137164041082880","80011770107188609024","7984885226198109184","61968573059389145088","3428528740695868"
"9","2015","01","09","20150109","30760436550614294528","42473712552555249664","1.09785007709232e+20","1335718142326253056","15921439618445359104","7652728760572694528","3615692784339445248","3857679200003677696","8.7083911221042e+19","8083544454582183936","57259037014203408384","3439542334986576"
"10","2015","01","10","20150110","30874442823656640512","41393023402304937984","59729121007869337600","NaN","18933948044211326976","9292951582848157696","1485829312767930368","5843473553267904512","83412637989314592768","7657190643532802048","67210434983338385408","3414617769775300"
